"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 13 23:25:37 CST 2023","Wed Dec 13 23:25:44 CST 2023","6316","","test_automation_case","TestCases","","","Test case3: Confirm how many credit cards and taking screenshot for cards",""
"passed","Wed Dec 13 23:25:37 CST 2023","Wed Dec 13 23:25:37 CST 2023","612","","test_automation_case","TestCases","","","Test case2: Calculating items in credit card list",""
"passed","Wed Dec 13 23:25:31 CST 2023","Wed Dec 13 23:25:37 CST 2023","5536","","test_automation_case","TestCases","","","Test case1: Taking screen in home page",""
